"recharge_id"	"user_id"	"amount"	"state"	"remark"	"system_record_id"	"channel_record_id"	"add_time"	"update_time"
"35"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:28"	""
"36"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:31"	""
"37"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:31"	""
"38"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:31"	""
"39"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:32"	""
"40"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:32"	""
"41"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:33"	""
"42"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:33"	""
"43"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:33"	""
"44"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:34"	""
"45"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:34"	""
"46"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:35"	""
"47"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:35"	""
"48"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:36"	""
"49"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:37"	""
"50"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:37"	""
"51"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:37"	""
"52"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:38"	""
"53"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:38"	""
"54"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:39"	""
"55"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:39"	""
"56"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:40"	""
"57"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:40"	""
"58"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:41"	""
"59"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:42"	""
"60"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:42"	""
"61"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:43"	""
"62"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:43"	""
"63"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:44"	""
"64"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:45"	""
"65"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:45"	""
"66"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:45"	""
"67"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:46"	""
"68"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:46"	""
"69"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:47"	""
"70"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:47"	""
"71"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:48"	""
"72"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:48"	""
"73"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:49"	""
"74"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:49"	""
"75"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:49"	""
"76"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:50"	""
"77"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:50"	""
"78"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:51"	""
"79"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:51"	""
"80"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:52"	""
"81"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:53"	""
"82"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:53"	""
"83"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:54"	""
"84"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:54"	""
"85"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:55"	""
"86"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:26"	""
"87"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:26"	""
"88"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:26"	""
"89"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:27"	""
"90"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:27"	""
"91"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:27"	""
"92"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:28"	""
"93"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:28"	""
"94"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:28"	""
"95"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:29"	""
"96"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:29"	""
"97"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:30"	""
"98"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:30"	""
"99"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:31"	""
"100"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:31"	""
"101"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:32"	""
"102"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:32"	""
"103"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:32"	""
"104"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:33"	""
"105"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:33"	""
"106"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:34"	""
"107"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:34"	""
"108"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:34"	""
"109"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:35"	""
"110"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 14:15:35"	""
"111"	"17"	"100.00"	"2"	""	"0"	""	"2018/9/11 14:15:36"	"2018/10/13 18:24:35"
"112"	"17"	"100.00"	"2"	""	"0"	""	"2018/9/11 14:15:36"	"2018/10/13 18:24:42"
"113"	"17"	"100.00"	"2"	""	"0"	""	"2018/9/11 14:15:36"	"2018/10/13 18:24:39"
"114"	"71"	"1.00"	"2"	""	"0"	""	"2018/9/12 10:26:39"	"2018/10/13 18:24:31"
"115"	"71"	"10.00"	"2"	""	"0"	""	"2018/9/13 13:33:52"	"2018/10/13 18:24:26"
"116"	"71"	"10.00"	"2"	""	"0"	""	"2018/9/13 13:34:02"	"2018/10/13 18:24:22"
"117"	"71"	"10.00"	"2"	""	"0"	""	"2018/9/13 13:34:03"	"2018/10/13 18:24:15"
"118"	"59"	"500.00"	"2"	""	"0"	""	"2018/9/19 11:21:20"	"2018/10/13 18:24:13"
"119"	"3"	"500.00"	"1"	""	"560243428781199361"	"78899887"	"2018/9/20 15:02:00"	"2018/9/20 15:02:17"
"120"	"23"	"200.00"	"2"	""	"0"	""	"2018/9/21 20:00:10"	"2018/10/13 18:24:10"
"121"	"23"	"200.00"	"2"	""	"0"	""	"2018/9/21 20:00:13"	"2018/10/13 18:24:07"
"122"	"82"	"100.00"	"1"	""	"560931863753920513"	"9887777"	"2018/9/22 12:37:43"	"2018/9/22 12:37:53"
"123"	"90"	"100.00"	"2"	""	"0"	""	"2018/9/28 12:56:47"	"2018/10/13 18:24:04"
"124"	"90"	"100.00"	"2"	""	"0"	""	"2018/9/28 12:56:55"	"2018/10/13 18:24:01"
"125"	"90"	"100.00"	"2"	""	"0"	""	"2018/9/28 12:57:03"	"2018/10/13 18:23:58"
"126"	"6"	"1000.00"	"2"	""	"0"	""	"2018/10/6 21:35:43"	"2018/10/13 18:23:56"
"127"	"6"	"1000.00"	"2"	""	"0"	""	"2018/10/6 21:35:47"	"2018/10/13 18:23:52"
"128"	"3"	"500.00"	"2"	""	"0"	""	"2018/10/14 10:10:23"	"2018/10/14 17:17:19"
"129"	"3"	"500.00"	"1"	""	"568867357410201601"	"123"	"2018/10/14 10:10:26"	"2018/10/14 10:10:42"
"130"	"156"	"10.00"	"2"	""	"0"	""	"2018/10/14 20:49:20"	"2018/10/15 12:15:05"
"131"	"166"	"100.00"	"2"	""	"0"	""	"2018/10/15 12:11:45"	"2018/10/15 12:15:03"
"132"	"166"	"100.00"	"1"	""	"569261018971115521"	"123456"	"2018/10/15 12:12:45"	"2018/10/15 12:14:58"
"133"	"3"	"500.00"	"2"	""	"0"	""	"2018/10/15 15:00:08"	"2018/10/15 23:18:13"
"134"	"3"	"100.00"	"2"	""	"0"	""	"2018/10/15 15:05:31"	"2018/10/15 23:18:10"
"135"	"201"	"30.00"	"1"	""	"569427896528015361"	"30"	"2018/10/15 23:14:49"	"2018/10/15 23:18:05"
"136"	"201"	"30.00"	"2"	""	"0"	""	"2018/10/15 23:18:11"	"2018/10/16 10:48:49"
"137"	"201"	"30.00"	"2"	""	"0"	""	"2018/10/15 23:18:12"	"2018/10/16 10:48:52"
"138"	"3"	"500.00"	"2"	""	"0"	""	"2018/10/18 22:26:59"	"2018/10/19 17:02:43"
"139"	"3"	"500.00"	"2"	""	"0"	""	"2018/10/18 22:27:00"	"2018/10/19 17:02:41"
"140"	"3"	"500.00"	"2"	""	"0"	""	"2018/10/18 22:27:01"	"2018/10/19 17:02:39"
"141"	"3"	"500.00"	"2"	""	"0"	""	"2018/10/18 22:27:02"	"2018/10/19 17:02:35"
"142"	"3"	"500.00"	"2"	""	"0"	""	"2018/10/18 22:27:02"	"2018/10/19 17:02:32"
"143"	"3"	"500.00"	"2"	""	"0"	""	"2018/10/18 22:27:04"	"2018/10/19 17:02:28"
"144"	"240"	"100.00"	"1"	""	"570776106420932609"	"123456"	"2018/10/19 16:20:14"	"2018/10/19 16:35:23"
"145"	"240"	"100.00"	"1"	""	"570779827913625601"	"78965"	"2018/10/19 16:49:11"	"2018/10/19 16:50:11"
"146"	"69"	"95.00"	"1"	""	"570785285273554945"	"1365"	"2018/10/19 17:11:35"	"2018/10/19 17:11:52"
"147"	"69"	"95.00"	"1"	""	"571041920227217409"	"95"	"2018/10/20 10:11:29"	"2018/10/20 10:11:38"
"148"	"69"	"2.00"	"1"	""	"571044663398502401"	"185258"	"2018/10/20 10:22:25"	"2018/10/20 10:22:32"
"149"	"59"	"50.00"	"2"	""	"0"	""	"2018/10/20 11:53:19"	"2018/10/20 12:39:07"
"150"	"291"	"5.00"	"1"	""	"571225948385447937"	"123"	"2018/10/20 22:18:01"	"2018/10/20 22:22:54"
"151"	"293"	"1.00"	"1"	""	"571413774544670721"	"7593"	"2018/10/21 10:42:15"	"2018/10/21 10:49:15"
"152"	"295"	"100.00"	"1"	""	"571433946500304897"	"5292"	"2018/10/21 12:08:17"	"2018/10/21 12:09:24"
"153"	"3"	"500.00"	"1"	""	"571434872904617985"	"56456"	"2018/10/21 12:12:55"	"2018/10/21 12:13:05"
"154"	"293"	"100.00"	"1"	""	"571472936372801537"	"4369"	"2018/10/21 14:43:32"	"2018/10/21 14:44:20"
